"","x"
"1",8138.62
"2",8131.49
"3",8133.23
"4",8133.83
"5",8133.8
"6",8132.85
"7",8132.32
"8",8131.07
"9",8125.69
"10",8129.38
"11",8140.58
"12",8134.25
"13",8128.1
"14",8134.43
"15",8127.56
"16",8136.11
"17",8137.27
"18",8132.73
"19",8129.13
"20",8129.71
"21",8134.02
"22",8130.41
"23",8127.9
"24",8133.88
"25",8136.61
"26",8131.15
"27",8134.6
"28",8127.3
"29",8133.06
"30",8137.86
"31",8125.28
"32",8129.7
"33",8134.42
"34",8126.61
"35",8140.17
"36",8132.48
"37",8131.95
"38",8136.61
"39",8131.81
"40",8131.03
"41",8138.08
"42",8130.88
"43",8127.22
"44",8131.45
"45",8128.31
"46",8128.71
"47",8126.21
"48",8129.99
"49",8135.48
"50",8127.3
"51",8134.36
"52",8132.82
"53",8134.38
"54",8129.95
"55",8134.1
"56",8135.4
"57",8135.48
"58",8132.08
"59",8128.81
"60",8132.89
"61",8131.66
"62",8132.28
"63",8130.73
"64",8128.15
"65",8132.94
"66",8128.32
"67",8134.07
"68",8132.39
"69",8129.13
"70",8130.36
"71",8134.28
"72",8133.95
"73",8129.85
"74",8132.67
"75",8130.13
"76",8136.44
"77",8135.25
"78",8133.91
"79",8135.4
"80",8134.66
"81",8128.87
"82",8134.04
"83",8131.32
"84",8131.54
"85",8135.31
"86",8130.06
"87",8130.41
"88",8131.47
"89",8135.15
"90",8129.72
"91",8134.4
"92",8131.39
"93",8133.15
"94",8132.4
"95",8131.63
"96",8130.69
"97",8128.74
"98",8127.89
"99",8131.77
"100",8132.49
"101",8125.97
"102",8130.4
"103",8124.4
"104",8131.89
"105",8134.01
"106",8126.38
"107",8132.4
"108",8131.52
"109",8130.97
"110",8127.16
"111",8132.4
"112",8131.52
"113",8129.32
"114",8132.36
"115",8127.6
"116",8134.46
"117",8126.12
"118",8135.21
"119",8123.85
"120",8125.57
"121",8133.94
"122",8131.81
"123",8129.72
"124",8133.82
"125",8126.33
"126",8130.94
"127",8133
"128",8132.08
"129",8127.33
"130",8125.29
"131",8126.38
"132",8128.92
"133",8130.93
"134",8131.3
"135",8129.34
"136",8130.43
"137",8128.81
"138",8129.67
"139",8124.97
"140",8130.27
"141",8120.93
"142",8124.87
"143",8126.81
"144",8125.47
"145",8130.91
"146",8129.19
"147",8126.13
"148",8124.48
"149",8124.34
"150",8122.99
"151",8127.21
"152",8119
"153",8124.14
"154",8129.24
"155",8120.41
"156",8128.48
"157",8125.07
"158",8126.33
"159",8127.61
"160",8122.68
"161",8126.97
"162",8123.77
"163",8124.06
"164",8124.63
"165",8126.53
"166",8119.14
"167",8122.41
"168",8124.44
"169",8125.3
"170",8121.76
"171",8124.87
"172",8120.08
"173",8121.64
"174",8119.17
"175",8125.76
"176",8123.8
"177",8120.11
"178",8116.56
"179",8116.84
"180",8122.57
"181",8114.79
"182",8119.67
"183",8117.8
"184",8115.61
"185",8113.69
"186",8123.45
"187",8115.67
"188",8117.69
"189",8117.51
"190",8112.58
"191",8114.61
"192",8110.93
